old_hcp_id,uuid,new_hcp_id,reason,quarter
"K-F0180-H03,uuid:5acc3a85-2a0d-4a56-ada9-fa4bcb9eaac7,K-F0180-H02,""In Q1, RA Erroneously used HCP_ID H03 instead of H02 hence one recorded obs under the HCP_ID H03"",Q1"
"K-F0180-H03,uuid:0afefc5c-1734-479e-a0e4-68a8c904f2ea,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:6ed58864-d621-4511-978e-d98eb8542cfa,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:53673c1c-ffbb-4e82-8b56-66627805ab60,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:6d5ee503-3072-4fd9-be20-4962ea792456,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:fad5e5f2-7e82-4581-9506-5b421cf90d3b,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:98a5fe58-a8cb-4cda-a9fb-44d669c5ee09,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:8732ebf7-4456-4671-b838-b59af8609ff0,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:cb6b1249-a22c-43f9-9f32-afff32c83472,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:b76a6c71-79f8-42e3-87fe-ec6f2d129179,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:1279459f-8424-42ff-969f-739c2f4c528d,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:b28fb66c-4e77-43dc-adec-a14ea081c8b6,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:eb0c5ad8-66ae-4588-a6ef-a075fe0bb84c,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:fa7ee21f-0a0e-4923-8339-a285020ec2d1,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:3beb70b3-18f8-410e-ace4-54ce298ef0c7,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:4ad7bc77-5ade-4b05-ae0f-efb0a6273f84,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:6d5d90bb-d6dd-449c-b03c-0acf3f988dc5,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:fb3dcf52-5079-4244-9cf5-bb297ac49642,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:ad0ebe40-acb3-4244-800e-6530250789a6,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:8b59c8d8-460a-471a-bab4-71b0bb822970,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:99e1210f-1749-4897-a579-19d1392af8b6,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:edce3858-f56c-4159-88aa-c37e89ed659a,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:4fd89dc9-d72d-413c-92ce-b4283abfb14b,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:c7857d19-9b28-45c9-8a44-f7f6ed751159,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:c098be4c-f6ec-44bf-8844-ee952d23f3ae,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:e0f8fde3-c7ba-4efa-9729-359c87a3e05a,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
"K-F0180-H03,uuid:4e4611c5-4464-4380-b2bc-d4f7519c2cee,K-F0180-H02,""K-F0180-H02(Q1) & K-F0180-H03(Q2)are the same HCP"",Q2"
K-F0214-H51,uuid:46366375-7f0c-4d29-a76c-2612fbbe12b0,K-F0214-G01,,Q1
K-F0214-H50,uuid:e3f9823e-468e-4241-9e9e-9e91766bf935,K-F0214-G01,,Q1
K-F0214-H49,uuid:626e3c40-2eeb-41ea-87f7-b8dfd94444d6,K-F0214-G01,,Q1
K-F0214-H48,uuid:46505915-f9b5-456f-961e-2b8bb1d11ee1,K-F0214-G01,,Q1
K-F0214-H47,uuid:8126c16f-04a4-4295-8c41-ad2c86cb35c0,K-F0214-G01,,Q1
K-F0214-H46,uuid:f76936aa-8c29-4128-986d-ebb5eba93bff,K-F0214-G01,,Q1
K-F0214-H45,uuid:e71e26d8-e432-4476-a39d-1fc4ce90ab44,K-F0214-G01,,Q1
K-F0214-H44,uuid:09dcb964-b3ca-4c09-9329-3426665ef26e,K-F0214-G01,,Q1
K-F0214-H43,uuid:a1f2d2e8-c8aa-4338-9159-a91375922a16,K-F0214-G01,,Q1
K-F0214-H42,uuid:8a7d35a4-1664-4d71-b30d-850962aa4421,K-F0214-G01,,Q1
K-F0214-H41,uuid:fa3b528c-82b2-45db-8133-0e73aee122d0,K-F0214-G01,,Q1
K-F0214-H40,uuid:cd65ef03-bc0d-4034-90bd-68eee145f8f9,K-F0214-G01,,Q1
K-F0214-H39,uuid:a9c85447-35e3-422c-9203-5b707d59036d,K-F0214-G01,,Q1
K-F0214-H38,uuid:193dbf80-2397-4dd5-8d85-7be1159a743d,K-F0214-G01,,Q1
K-F0214-H37,uuid:3d399cf3-5978-43e7-8b7e-23ce24e61038,K-F0214-G01,,Q1
K-F0214-H36,uuid:605d4392-0fbd-47ff-80a5-7acf0ac4e7d7,K-F0214-G01,,Q1
K-F0214-H35,uuid:a334eee7-4138-43e5-bc62-7244a4ef8a00,K-F0214-G01,,Q1
K-F0214-H34,uuid:270f1d23-f517-4639-a05b-cc3912dad4bc,K-F0214-G01,,Q1
K-F0214-H33,uuid:fa729b4d-da88-43c9-88b3-22fed39b5a9b,K-F0214-G01,,Q1
K-F0214-H32,uuid:001feecb-c28e-4a68-abcb-906451bd3bd5,K-F0214-G01,,Q1
K-F0214-H31,uuid:f97f4109-369c-4896-b7e8-5433f4218ad2,K-F0214-G01,,Q1
K-F0214-H30,uuid:0b1df5cb-5424-4880-a1ef-29113721336e,K-F0214-G01,,Q1
K-F0214-H29,uuid:e65222ff-f474-4982-9414-ec2433890a8a,K-F0214-G01,,Q1
K-F0214-H28,uuid:72004b08-ed5b-400f-a582-b57b87ab4747,K-F0214-G01,,Q1
K-F0214-H27,uuid:29d58763-d720-4e68-8014-bc6c514660a4,K-F0214-G01,,Q1
K-F0214-H26,uuid:10ae1e2e-6196-4c21-be12-20db8240241e,K-F0214-G01,,Q1
K-F0214-H25,uuid:3f032f93-e2c7-48ee-862d-ccd94bb05a72,K-F0214-G01,,Q1
K-F0214-H24,uuid:27536de3-85be-4e69-aeb9-90b7295d1a67,K-F0214-G01,,Q1
K-F0214-H23,uuid:6b3a71e9-7091-4603-a2a6-d4218591142b,K-F0214-G01,,Q1
K-F0214-H22,uuid:ab3fa190-0582-410b-87f6-6a20ec5630ac,K-F0214-G01,,Q1
K-F0214-H21,uuid:65384877-d246-40e1-b3e0-64bce2089d68,K-F0214-G01,,Q1
K-F0214-H20,uuid:3dc221cd-327a-4a79-8550-1071d1891edf,K-F0214-G01,,Q1
K-F0214-H19,uuid:ac79a38e-5c7a-40ea-a10e-956be824ec6d,K-F0214-G01,,Q1
K-F0214-H18,uuid:4cb733c6-3e53-4041-a974-c855ab3fbbbe,K-F0214-G01,,Q1
K-F0214-H17,uuid:f5ef455e-853d-4106-af3b-9c3ccca516c2,K-F0214-G01,,Q1
K-F0214-H16,uuid:6d294073-510f-4368-830f-8341d9c95fe7,K-F0214-G01,,Q1
K-F0214-H15,uuid:4fea7429-bc20-4e2f-aa65-13b88f6e966e,K-F0214-G01,,Q1
K-F0214-H14,uuid:6a9aa4a0-b7e8-4abc-b3bf-e82f4edcb2d8,K-F0214-G01,,Q1
K-F0214-H13,uuid:104813c8-00d0-4334-b655-75db1fd94840,K-F0214-G01,,Q1
K-F0214-H12,uuid:3d554b28-117c-4a3a-a040-01107af799cb,K-F0214-G01,,Q1
K-F0214-H11,uuid:d0b087a8-56c1-44c7-8966-4ff4bc47d0a6,K-F0214-G01,,Q1
K-F0214-H10,uuid:2a7a8c5d-1167-48ac-83e7-bb867ba5e31b,K-F0214-G01,,Q1
K-F0214-H09,uuid:6935e7fb-ddd3-4a7f-b47f-a3d7fc041908,K-F0214-G01,,Q1
K-F0214-H08,uuid:a9c1c75b-057a-4a58-9f6d-c8d4a1602e64,K-F0214-G01,,Q1
K-F0214-H07,uuid:474458de-58c5-4b73-b3ff-56024d382d01,K-F0214-G01,,Q1
K-F0214-H06,uuid:ea499d95-01ae-4a88-9b7d-abd4f8323549,K-F0214-G01,,Q1
K-F0214-H05,uuid:9309187b-3fee-43c6-8bc2-3447402db3be,K-F0214-G01,,Q1
K-F0214-H04,uuid:5896b1e1-0b80-4904-b8fd-9659c5a8815c,K-F0214-G01,,Q1
K-F0214-H03,uuid:548430c7-73bc-465c-913a-16a47fdfa4cd,K-F0214-G01,,Q1
K-F0214-H02,uuid:ab955e28-4512-43ea-8120-6233f5afd5be,K-F0214-G01,,Q1
K-F0214-H01,uuid:cc78eb9b-dcfe-441f-9889-37d882e63a46,K-F0214-G01,,Q1
"K-F0204-H03,uuid:d2a5ccd9-5f89-4bd7-b90e-9ae318069653,K-F0204-H01,""1 HCP seeing children under 5 at the facility. RA initially had understanding that she should issue the HCP_IDs incrementallyper observation, but she corrected this and went back to using 1st HCP_ID she had issued. i.e  K-F0204-H01"",Q1"
"K-F0204-H02,uuid:89001186-c710-48a8-bd7c-bab8e027e544,K-F0204-H01,""1 HCP seeing children under 5 at the facility. RA initially had understanding that she should issue the HCP_IDs incrementallyper observation, but she corrected this and went back to using 1st HCP_ID she had issued. i.e  K-F0204-H01"",Q1"
K-F0225-H01,uuid:805fd894-4bed-4865-9578-6aaadbe57d7e,K-F0225-H02,,Q2
K-F0225-H01,uuid:9f7fc711-3ea3-4ca1-9f78-b7fb840b419a,K-F0225-H02,,Q2
K-F0225-H01,uuid:9c66dc3e-8098-4f18-b403-af5f68f05c27,K-F0225-H02,,Q2
K-F0225-H01,uuid:1352e301-fa38-424f-817e-e5c2ad7a6777,K-F0225-H02,,Q2
K-F0225-H01,uuid:0a7c5613-4c61-414c-bea0-46ce3acfa9d2,K-F0225-H02,,Q2
K-F0225-H01,uuid:7a7f45cd-dec3-4f52-bf4e-783d96ea293e,K-F0225-H02,,Q2
K-F0225-H01,uuid:5ec2db36-9c49-462e-b37b-5e0feb2a2f62,K-F0225-H02,,Q2
K-F0225-H01,uuid:ff13662f-c4fc-4973-bbe8-bdef3b677165,K-F0225-H02,,Q2
K-F0225-H01,uuid:738ce6b6-e908-46a1-bf16-606eac090af0,K-F0225-H02,,Q2
K-F0225-H01,uuid:75d19738-daf1-48bc-a75e-51cc8cc2f263,K-F0225-H02,,Q2
K-F0225-H01,uuid:e44e6f1b-d4db-455a-864f-ae1460dfa584,K-F0225-H02,,Q2
K-F0225-H01,uuid:fb0cfa78-ffea-459d-8040-9ec2b2a43d0e,K-F0225-H02,,Q2
K-F0225-H01,uuid:262b8d86-b8a7-4728-8c88-80169e168dee,K-F0225-H02,,Q2
K-F0225-H01,uuid:ff0ec072-f47b-4306-8d00-6b73fa03ab3c,K-F0225-H02,,Q2
K-F0225-H01,uuid:86532de9-73c7-4a7d-9c92-4fbce9ebf0a8,K-F0225-H02,,Q2
K-F0218-H01,uuid:502ec11d-d4bb-4d5f-aee2-7cbc1bda52e0,K-F0218-H04,,Q1
K-F0218-H02,uuid:b3106ec2-99e6-464d-8552-9d79fe357036,K-F0218-H04,,Q1
K-F0218-H03,uuid:119adab2-b038-4790-8cd9-ce20b214bb7e,K-F0218-H04,,Q1
K-F0218-H04,uuid:c9c77c01-83dd-4920-8177-e3eeeb5d6e94,K-F0218-H04,,Q1
K-F0218-H05,uuid:fa2859c2-62eb-4d31-b821-73c184be0ab2,K-F0218-H04,,Q1
K-F0218-H06,uuid:4722c00f-db22-49f1-ba0a-748afe737bb5,K-F0218-H04,,Q1
K-F0218-H07,uuid:f818977d-abe0-4959-ae43-cd7cafdb55cc,K-F0218-H04,,Q1
K-F0218-H08,uuid:79c09d79-f845-480a-9238-4546d1885374,K-F0218-H04,,Q1
K-F0218-H08,uuid:ef9c939c-41a6-4b28-a85a-5285f9691108,K-F0218-H04,,Q1
K-F0218-H09,uuid:706b2754-a506-4e59-9e9a-a32b4593643c,K-F0218-H05,,Q1
K-F0218-H09,uuid:9a96ff0c-e3af-4760-9715-33fe9100ea30K-F0218-H05,,Q1
K-F0218-H10,uuid:dc3f4c3a-5779-45e5-bc78-b96e59a8e4f4,K-F0218-H05,,Q1
K-F0218-H11,uuid:a28dd5ee-2d7f-4e3d-abb9-018efb04ab69,K-F0218-H05,,Q1
K-F0218-H12,uuid:7e3c6321-b2be-4414-b396-01b9c70e77ad,K-F0218-H05,,Q1
K-F0218-H13,uuid:124329a9-3624-414f-a3c8-ae6141584752,K-F0218-H05,,Q1
K-F0218-H14,uuid:93339bdc-4ef7-457c-8126-b73c175e3beb,K-F0218-H05,,Q1
K-F0218-H15,uuid:e22d77a7-16d2-466e-b3e4-2e66741b6479,K-F0218-H05,,Q1
K-F0218-H16,uuid:bf564b8b-bbb9-4463-bea0-367d7eeafaf2,K-F0218-H05,,Q1
K-F0218-H16,uuid:cc46f339-8513-4fe4-a73a-396f87e10e17,K-F0218-H05,,Q1
K-F0218-H17,uuid:842fcdfb-f9de-4dcf-bb1a-63c9bb74a02e,K-F0218-H05,,Q1
K-F0218-H18,uuid:51c2b6b0-a7de-4ed7-a159-c22540d597a4,K-F0218-H05,,Q1
K-F0218-H19,uuid:50d5d102-03f3-4988-a57c-323fa5973d82,K-F0218-H04,,Q1
K-F0218-H20,uuid:efb1a523-39d3-4832-8fb5-710708d5f686,K-F0218-H04,,Q1
K-F0218-H20,uuid:1918c515-96b0-4c4b-a66a-b694c6c6242d,K-F0218-H04,,Q1
K-F0218-H20,uuid:d0aff980-2564-40e1-aefe-99788a7a7d13,K-F0218-H04,,Q1
K-F0218-H20,uuid:b39bf620-34c6-4454-958c-fba16eb607eb,K-F0218-H04,,Q1
K-F0218-H20,uuid:053b7afe-391f-4958-8973-b5849a0c64ba,K-F0218-H04,,Q1
K-F0218-H20,uuid:acceb4cf-e52c-4699-a1e6-8b9a1c9b609f,K-F0218-H04,,Q1
K-F0218-H20,uuid:5deda0e5-3c03-46b7-af31-886d89ce4119,K-F0218-H04,,Q1
K-F0218-H20,uuid:c0cf64c6-f7e0-4579-adfa-f96c9d96c244,K-F0218-H04,,Q1
K-F0218-H20,uuid:53853708-7894-43c6-8ede-b05eb6189bb8,K-F0218-H04,,Q1
K-F0218-H20,uuid:245762f1-0fb6-4b36-92fb-4f6a72fbc93a,K-F0218-H04,,Q1
K-F0218-H20,uuid:4d97f0bc-e8da-4dd6-bb21-733750981949,K-F0218-H04,,Q1
K-F0218-H20,uuid:209f3f88-0e6f-42b7-ade6-d3ecd1c48fb2,K-F0218-H04,,Q1
